id,hyper_id,hyper_default,hyper_actual
1,1,,
2,2,0,5
3,3,TRUE,FALSE
4,4,FALSE,TRUE
5,5,FALSE,FALSE
6,6,FALSE,FALSE
7,7,0,5
8,8,AUTO,Modulo
9,9,,
10,10,,
11,11, ,[ ]
12,12,TRUE,TRUE
13,13,,
14,14,,
15,15,FALSE,FALSE
16,16,,
17,17,5,5
18,18,20,20
19,19,0,0
20,20,50,230
21,21,5,15
22,22,10,100
23,23,20,20
24,24,1024,1024
25,25,1024,1024
26,26,1.7976931348623157e+308,1.7976931348623157e+308
27,27,0,3
28,28,AUTO,deviance
29,29,0.001,0.001580673
30,30,0,244
31,31,-1,5.23444E+18
32,32,FALSE,FALSE
33,33,0.1,0.1
34,34,1,1
35,35,AUTO,gaussian
36,36,0.5,0.5
37,37,1.5,1.5
38,38,0.9,0.9
39,39,,
40,40,1,0.8
41,41,,
42,42,1,0.8
43,43,1,1
44,44,1,0.8
45,45,0.00001,0.00001
46,46,AUTO,AUTO
47,47,1.7976931348623157e+308,1.7976931348623157e+308
48,48,0,0
49,49,AUTO,AUTO
50,50,FALSE,FALSE
51,51,,
52,52,,
53,53,,
54,54,,
55,55,TRUE,TRUE
56,56,,
57,57,AUTO,AUTO
58,58,0,5
59,59,,
60,60,,
61,61,FALSE,TRUE
62,62,"""""",""""""
63,63,-1,4.62272E+18
64,64,,
65,65,,
66,66,AUTO,AUTO
67,67,0,5
68,68,,
69,69,,
70,70,FALSE,TRUE
71,71,"""""",""""""
72,72,-1,3.417E+18
73,73,,
74,74,,
75,75,0,5
76,76,-1,6.16114E+18
77,77,TRUE,FALSE
78,78,FALSE,TRUE
79,79,FALSE,FALSE
80,80,AUTO,Modulo
81,81,,
82,82,,[ ]
83,83,TRUE,TRUE
84,84,FALSE,FALSE
85,85,,
86,86,,
87,87,gaussian,gaussian
88,88,0,0
89,89,1,1
90,90,AUTO,COORDINATE_DESCENT
91,91,,0
92,91,,0.2
93,91,,0.4
94,91,,0.6
95,91,,0.8
96,91,,1
97,92,,749571.3097
98,92,,465496.4825
99,92,,289081.202
100,92,,179524.324
101,92,,111487.6467
102,93,FALSE,TRUE
103,94,TRUE,TRUE
104,95,-1,30
105,96,TRUE,TRUE
106,97,MeanImputation,MeanImputation
107,98,FALSE,FALSE
108,99,FALSE,FALSE
109,100,TRUE,TRUE
110,101,FALSE,FALSE
111,102,-1,300
112,103,-1,0.0001
113,104,0.0001,0.0001
114,105,-1,0.000001
115,106,family_default,identity
116,107,-1,-1
117,108,-1,0.000001
118,109,,
119,110,-1,5000
120,111,,
121,112,,
122,113,-1,2.49853E-06
123,114,,
124,115,FALSE,FALSE
125,116,,
126,117,5,5
127,118,20,20
128,119,0,0
129,120,0,8.333333333
130,121,,
131,122,,
132,123,0,5
133,124,TRUE,FALSE
134,125,FALSE,TRUE
135,126,FALSE,FALSE
136,127,FALSE,FALSE
137,128,0,5
138,129,AUTO,Modulo
139,130,,
140,131,,[ ] 
141,132,TRUE,TRUE
142,133,,
143,134,,
144,135,FALSE,FALSE
145,136,,
146,137,5,5
147,138,20,20
148,139,0,0
149,140,50,205
150,141,5,15
151,142,10,100
152,143,20,20
153,144,1024,1024
154,145,1024,1024
155,146,1.7976931348623157e+308,1.7976931348623157e+308
156,147,0,0
157,148,AUTO,deviance
158,149,0.001,0.001580673
159,150,0,0
160,151,-1,6.3444E+18
161,152,FALSE,FALSE
162,153,0.1,0.1
163,154,1,1
164,155,AUTO,gaussian
165,156,0.5,0.5
166,157,1.5,1.5
167,158,0.9,0.9
168,159,,
169,160,1,0.8
170,161,,
171,162,1,0.8
172,163,1,1
173,164,1,0.8
174,165,1.00E-05,1.00E-05
175,166,AUTO,AUTO
176,167,1.7976931348623157e+308,1.7976931348623157e+308
177,168,0,0
178,169,AUTO,AUTO
179,170,FALSE,FALSE
180,171,,
181,172,,
182,173,,
183,174,,
184,175,TRUE,TRUE
185,176,,
186,177,0,5
187,178,TRUE,FALSE
188,179,FALSE,TRUE
189,180,FALSE,FALSE
190,181,FALSE,FALSE
191,182,0,5
192,183,AUTO,Modulo
193,184,,
194,185,,[ ] 
195,186,TRUE,TRUE
196,187,,
197,188,,
198,189,FALSE,FALSE
199,190,,
200,191,5,5
201,192,20,20
202,193,0,0
203,194,50,205
204,195,5,15
205,196,10,100
206,197,20,20
207,198,1024,1024
208,199,1024,1024
209,200,1.7976931348623157e+308,1.7976931348623157e+308
210,201,0,0
211,202,AUTO,deviance
212,203,0.001,0.001580673
213,204,0,0
214,205,-1,6.3444E+18
215,206,FALSE,FALSE
216,207,0.1,0.1
217,208,1,1
218,209,AUTO,gaussian
219,210,0.5,0.5
220,211,1.5,1.5
221,212,0.9,0.9
222,213,,
223,214,1,0.8
224,215,,
225,216,1,0.8
226,217,1,1
227,218,1,0.8
228,219,1.00E-05,1.00E-05
229,220,AUTO,AUTO
230,221,1.7976931348623157e+308,1.7976931348623157e+308
231,222,0,0
232,223,AUTO,AUTO
233,224,FALSE,FALSE
234,225,,
235,226,,
236,227,,
237,228,,
238,229,TRUE,TRUE
239,230,,
240,231,0,5
241,232,-1,-5.61308E+18
242,233,TRUE,FALSE
243,234,FALSE,TRUE
244,235,FALSE,FALSE
245,236,AUTO,Modulo
246,237,,
247,238,,[ ]
248,239,TRUE,TRUE
249,240,FALSE,FALSE
250,241,,
251,242,,
252,243,gaussian,gaussian
253,244,0,0
254,245,1,1
255,246,AUTO,COORDINATE_DESCENT
256,247,,0
257,247,,0.2
258,247,,0.4
259,247,,0.6
260,247,,0.8
261,247,,1
262,248,,749571.3097
263,248,,465496.4825
264,248,,289081.202
265,248,,179524.324
266,248,,111487.6467
267,249,FALSE,TRUE
268,250,TRUE,TRUE
269,251,-1,30
270,252,TRUE,TRUE
271,253,MeanImputation,MeanImputation
272,254,FALSE,FALSE
273,255,FALSE,FALSE
274,256,TRUE,TRUE
275,257,FALSE,FALSE
276,258,-1,300
277,259,-1,0.0001
278,260,0.0001,0.0001
279,261,-1,0.000001
280,262,family_default,identity
281,263,-1,-1
282,264,-1,0.000001
283,265,,
284,266,-1,5000
285,267,,
286,268,,
287,269,-1,2.49853E-06
288,270,,
289,271,FALSE,FALSE
290,272,,
291,273,5,5
292,274,20,20
293,275,0,0
294,276,0,6.5
295,277,,
296,278,,
297,279,0,5
298,280,-1,-5.61308E+18
299,281,TRUE,FALSE
300,282,FALSE,TRUE
301,283,FALSE,FALSE
302,284,AUTO,Modulo
303,285,,
304,286,,[ ]
305,287,TRUE,TRUE
306,288,FALSE,FALSE
307,289,,
308,290,,
309,291,gaussian,gaussian
310,292,0,0
311,293,1,1
312,294,AUTO,COORDINATE_DESCENT
313,295,,0
314,295,,0.2
315,295,,0.4
316,295,,0.6
317,295,,0.8
318,295,,1
319,296,,749571.3097
320,296,,465496.4825
321,296,,289081.202
322,296,,179524.324
323,296,,111487.6467
324,297,FALSE,TRUE
325,298,TRUE,TRUE
326,299,-1,30
327,300,TRUE,TRUE
328,301,MeanImputation,MeanImputation
329,302,FALSE,FALSE
330,303,FALSE,FALSE
331,304,TRUE,TRUE
332,305,FALSE,FALSE
333,306,-1,300
334,307,-1,0.0001
335,308,0.0001,0.0001
336,309,-1,0.000001
337,310,family_default,identity
338,311,-1,-1
339,312,-1,0.000001
340,313,,
341,314,-1,5000
342,315,,
343,316,,
344,317,-1,2.49853E-06
345,318,,
346,319,FALSE,FALSE
347,320,,
348,321,5,5
349,322,20,20
350,323,0,0
351,324,0,11.5
352,325,,
353,326,,
354,327,AUTO,AUTO
355,328,0,5
356,329,,
357,330,,
358,331,FALSE,TRUE
359,332,"""""",""""""
360,333,-1,6.5857E+18
361,334,,
362,335,,
363,336,AUTO,AUTO
364,337,0,5
365,338,,
366,339,,
367,340,FALSE,TRUE
368,341,"""""",""""""
369,342,-1,-6.66901E+18
370,343,,
