id,model_id,hyper_parameter
1,1,validation_frame
2,1,nfolds
3,1,keep_cross_validation_models
4,1,keep_cross_validation_predictions
5,1,keep_cross_validation_fold_assignment
6,1,score_each_iteration
7,1,score_tree_interval
8,1,fold_assignment
9,1,fold_column
10,1,response_column
11,1,ignored_columns
12,1,ignore_const_cols
13,1,offset_column
14,1,weights_column
15,1,balance_classes
16,1,class_sampling_factors
17,1,max_after_balance_size
18,1,max_confusion_matrix_size
19,1,max_hit_ratio_k
20,1,ntrees
21,1,max_depth
22,1,min_rows
23,1,nbins
24,1,nbins_top_level
25,1,nbins_cats
26,1,r2_stopping
27,1,stopping_rounds
28,1,stopping_metric
29,1,stopping_tolerance
30,1,max_runtime_secs
31,1,seed
32,1,build_tree_one_node
33,1,learn_rate
34,1,learn_rate_annealing
35,1,distribution
36,1,quantile_alpha
37,1,tweedie_power
38,1,huber_alpha
39,1,checkpoint
40,1,sample_rate
41,1,sample_rate_per_class
42,1,col_sample_rate
43,1,col_sample_rate_change_per_level
44,1,col_sample_rate_per_tree
45,1,min_split_improvement
46,1,histogram_type
47,1,max_abs_leafnode_pred
48,1,pred_noise_bandwidth
49,1,categorical_encoding
50,1,calibrate_model
51,1,calibration_frame
52,1,custom_metric_func
53,1,export_checkpoints_dir
54,1,monotone_constraints
55,1,check_constant_response
56,2,validation_frame
57,2,metalearner_algorithm
58,2,metalearner_nfolds
59,2,metalearner_fold_assignment
60,2,metalearner_fold_column
61,2,keep_levelone_frame
62,2,metalearner_params
63,2,seed
64,2,export_checkpoints_dir
65,3,validation_frame
66,3,metalearner_algorithm
67,3,metalearner_nfolds
68,3,metalearner_fold_assignment
69,3,metalearner_fold_column
70,3,keep_levelone_frame
71,3,metalearner_params
72,3,seed
73,3,export_checkpoints_dir
74,4,validation_frame
75,4,nfolds
76,4,seed
77,4,keep_cross_validation_models
78,4,keep_cross_validation_predictions
79,4,keep_cross_validation_fold_assignment
80,4,fold_assignment
81,4,fold_column
82,4,ignored_columns
83,4,ignore_const_cols
84,4,score_each_iteration
85,4,offset_column
86,4,weights_column
87,4,family
88,4,tweedie_variance_power
89,4,tweedie_link_power
90,4,solver
91,4,alpha
92,4,lambda
93,4,lambda_search
94,4,early_stopping
95,4,nlambdas
96,4,standardize
97,4,missing_values_handling
98,4,compute_p_values
99,4,remove_collinear_columns
100,4,intercept
101,4,non_negative
102,4,max_iterations
103,4,objective_epsilon
104,4,beta_epsilon
105,4,gradient_epsilon
106,4,link
107,4,prior
108,4,lambda_min_ratio
109,4,beta_constraints
110,4,max_active_predictors
111,4,interactions
112,4,interaction_pairs
113,4,obj_reg
114,4,export_checkpoints_dir
115,4,balance_classes
116,4,class_sampling_factors
117,4,max_after_balance_size
118,4,max_confusion_matrix_size
119,4,max_hit_ratio_k
120,4,max_runtime_secs
121,4,custom_metric_func
122,5,validation_frame
123,5,nfolds
124,5,keep_cross_validation_models
125,5,keep_cross_validation_predictions
126,5,keep_cross_validation_fold_assignment
127,5,score_each_iteration
128,5,score_tree_interval
129,5,fold_assignment
130,5,fold_column
131,5,ignored_columns
132,5,ignore_const_cols
133,5,offset_column
134,5,weights_column
135,5,balance_classes
136,5,class_sampling_factors
137,5,max_after_balance_size
138,5,max_confusion_matrix_size
139,5,max_hit_ratio_k
140,5,ntrees
141,5,max_depth
142,5,min_rows
143,5,nbins
144,5,nbins_top_level
145,5,nbins_cats
146,5,r2_stopping
147,5,stopping_rounds
148,5,stopping_metric
149,5,stopping_tolerance
150,5,max_runtime_secs
151,5,seed
152,5,build_tree_one_node
153,5,learn_rate
154,5,learn_rate_annealing
155,5,distribution
156,5,quantile_alpha
157,5,tweedie_power
158,5,huber_alpha
159,5,checkpoint
160,5,sample_rate
161,5,sample_rate_per_class
162,5,col_sample_rate
163,5,col_sample_rate_change_per_level
164,5,col_sample_rate_per_tree
165,5,min_split_improvement
166,5,histogram_type
167,5,max_abs_leafnode_pred
168,5,pred_noise_bandwidth
169,5,categorical_encoding
170,5,calibrate_model
171,5,calibration_frame
172,5,custom_metric_func
173,5,export_checkpoints_dir
174,5,monotone_constraints
175,5,check_constant_response
176,6,validation_frame
177,6,nfolds
178,6,keep_cross_validation_models
179,6,keep_cross_validation_predictions
180,6,keep_cross_validation_fold_assignment
181,6,score_each_iteration
182,6,score_tree_interval
183,6,fold_assignment
184,6,fold_column
185,6,ignored_columns
186,6,ignore_const_cols
187,6,offset_column
188,6,weights_column
189,6,balance_classes
190,6,class_sampling_factors
191,6,max_after_balance_size
192,6,max_confusion_matrix_size
193,6,max_hit_ratio_k
194,6,ntrees
195,6,max_depth
196,6,min_rows
197,6,nbins
198,6,nbins_top_level
199,6,nbins_cats
200,6,r2_stopping
201,6,stopping_rounds
202,6,stopping_metric
203,6,stopping_tolerance
204,6,max_runtime_secs
205,6,seed
206,6,build_tree_one_node
207,6,learn_rate
208,6,learn_rate_annealing
209,6,distribution
210,6,quantile_alpha
211,6,tweedie_power
212,6,huber_alpha
213,6,checkpoint
214,6,sample_rate
215,6,sample_rate_per_class
216,6,col_sample_rate
217,6,col_sample_rate_change_per_level
218,6,col_sample_rate_per_tree
219,6,min_split_improvement
220,6,histogram_type
221,6,max_abs_leafnode_pred
222,6,pred_noise_bandwidth
223,6,categorical_encoding
224,6,calibrate_model
225,6,calibration_frame
226,6,custom_metric_func
227,6,export_checkpoints_dir
228,6,monotone_constraints
229,6,check_constant_response
230,7,validation_frame
231,7,nfolds
232,7,seed
233,7,keep_cross_validation_models
234,7,keep_cross_validation_predictions
235,7,keep_cross_validation_fold_assignment
236,7,fold_assignment
237,7,fold_column
238,7,ignored_columns
239,7,ignore_const_cols
240,7,score_each_iteration
241,7,offset_column
242,7,weights_column
243,7,family
244,7,tweedie_variance_power
245,7,tweedie_link_power
246,7,solver
247,7,alpha
248,7,lambda
249,7,lambda_search
250,7,early_stopping
251,7,nlambdas
252,7,standardize
253,7,missing_values_handling
254,7,compute_p_values
255,7,remove_collinear_columns
256,7,intercept
257,7,non_negative
258,7,max_iterations
259,7,objective_epsilon
260,7,beta_epsilon
261,7,gradient_epsilon
262,7,link
263,7,prior
264,7,lambda_min_ratio
265,7,beta_constraints
266,7,max_active_predictors
267,7,interactions
268,7,interaction_pairs
269,7,obj_reg
270,7,export_checkpoints_dir
271,7,balance_classes
272,7,class_sampling_factors
273,7,max_after_balance_size
274,7,max_confusion_matrix_size
275,7,max_hit_ratio_k
276,7,max_runtime_secs
277,7,custom_metric_func
278,8,validation_frame
279,8,nfolds
280,8,seed
281,8,keep_cross_validation_models
282,8,keep_cross_validation_predictions
283,8,keep_cross_validation_fold_assignment
284,8,fold_assignment
285,8,fold_column
286,8,ignored_columns
287,8,ignore_const_cols
288,8,score_each_iteration
289,8,offset_column
290,8,weights_column
291,8,family
292,8,tweedie_variance_power
293,8,tweedie_link_power
294,8,solver
295,8,alpha
296,8,lambda
297,8,lambda_search
298,8,early_stopping
299,8,nlambdas
300,8,standardize
301,8,missing_values_handling
302,8,compute_p_values
303,8,remove_collinear_columns
304,8,intercept
305,8,non_negative
306,8,max_iterations
307,8,objective_epsilon
308,8,beta_epsilon
309,8,gradient_epsilon
310,8,link
311,8,prior
